team,round,result_match,championship_score,home_team,goals_conceded,goals_scored,ag_scored,ag_conceded,wcg,clube_nome
285.0,21,0,28,0,24,13,0.6190476190476191,1.1428571428571428,11,Internacional
316.0,21,3,26,0,27,20,0.9523809523809523,1.2857142857142858,3,Figueirense
275.0,22,0,34,0,23,30,1.3636363636363635,1.0454545454545454,7,Palmeiras
315.0,22,0,28,0,24,19,0.8636363636363636,1.0909090909090908,7,Chapecoense
266.0,22,0,33,0,24,23,1.0454545454545454,1.0909090909090908,8,Fluminense
276.0,22,1,35,0,20,23,1.0454545454545454,0.9090909090909091,10,São Paulo
283.0,22,3,25,0,22,16,0.7272727272727273,1.0,5,Cruzeiro
293.0,22,3,36,0,23,24,1.0909090909090908,1.0454545454545454,9,Atlético-PR
292.0,22,1,32,0,24,31,1.4090909090909092,1.0909090909090908,7,Sport
267.0,22,0,13,0,38,8,0.36363636363636365,1.7272727272727273,5,Vasco
284.0,22,3,41,0,17,27,1.2272727272727273,0.7727272727272727,9,Grêmio
314.0,22,0,23,0,36,22,1.0,1.6363636363636365,3,Avaí
294.0,22,1,23,1,23,12,0.5454545454545454,1.0454545454545454,9,Coritiba
290.0,22,3,25,1,19,19,0.8636363636363636,0.8636363636363636,10,Goiás
264.0,22,3,49,1,15,30,1.3636363636363635,0.6818181818181818,12,Corinthians
262.0,22,3,32,1,29,24,1.0909090909090908,1.3181818181818181,7,Flamengo
277.0,22,3,33,1,25,29,1.3181818181818181,1.1363636363636365,8,Santos
282.0,22,0,42,1,18,26,1.1818181818181819,0.8181818181818182,7,Atlético-MG
215.0,22,1,20,1,25,15,0.6818181818181818,1.1363636363636365,7,Joinville
303.0,22,0,27,1,26,16,0.7272727272727273,1.1818181818181819,8,Ponte Preta
285.0,22,3,31,1,24,19,0.8636363636363636,1.0909090909090908,12,Internacional
316.0,22,0,26,1,29,20,0.9090909090909091,1.3181818181818181,3,Figueirense
275.0,23,1,35,1,26,33,1.434782608695652,1.1304347826086956,7,Palmeiras
315.0,23,1,29,1,24,19,0.8260869565217391,1.0434782608695652,8,Chapecoense
266.0,23,0,33,1,27,24,1.0434782608695652,1.173913043478261,8,Fluminense
276.0,23,3,38,1,20,25,1.0869565217391304,0.8695652173913043,11,São Paulo
283.0,23,3,28,1,23,21,0.9130434782608695,1.0,5,Cruzeiro
293.0,23,1,37,1,23,24,1.0434782608695652,1.0,10,Atlético-PR
292.0,23,1,33,1,25,32,1.391304347826087,1.0869565217391304,7,Sport
267.0,23,0,13,1,40,9,0.391304347826087,1.7391304347826086,5,Vasco
284.0,23,3,44,1,18,29,1.2608695652173914,0.782608695652174,9,Grêmio
314.0,23,0,23,1,38,20,0.8695652173913043,1.6521739130434783,3,Avaí
294.0,23,3,26,0,23,14,0.6086956521739131,1.0,10,Coritiba
290.0,23,0,25,0,21,20,0.8695652173913043,0.9130434782608695,10,Goiás
264.0,23,1,50,0,18,32,1.391304347826087,0.782608695652174,12,Corinthians
262.0,23,3,35,0,30,27,1.173913043478261,1.3043478260869565,7,Flamengo
277.0,23,1,34,0,26,30,1.3043478260869565,1.1304347826086956,8,Santos
282.0,23,3,45,0,19,28,1.2173913043478262,0.8260869565217391,7,Atlético-MG
215.0,23,1,21,0,25,15,0.6521739130434783,1.0869565217391304,8,Joinville
303.0,23,1,28,0,26,16,0.6956521739130435,1.1304347826086956,9,Ponte Preta
285.0,23,0,31,0,26,19,0.8260869565217391,1.1304347826086956,12,Internacional
316.0,23,0,26,0,34,21,0.9130434782608695,1.4782608695652173,3,Figueirense
275.0,24,0,35,0,27,33,1.375,1.125,7,Palmeiras
315.0,24,1,30,0,24,19,0.7916666666666666,1.0,9,Chapecoense
266.0,24,1,34,0,28,25,1.0416666666666667,1.1666666666666667,8,Fluminense
276.0,24,0,38,0,23,25,1.0416666666666667,0.9583333333333334,11,São Paulo
283.0,24,0,28,0,25,21,0.875,1.0416666666666667,5,Cruzeiro
293.0,24,1,38,0,24,24,1.0,1.0,10,Atlético-PR
292.0,24,0,33,0,26,32,1.3333333333333333,1.0833333333333333,7,Sport
267.0,24,3,16,0,40,10,0.4166666666666667,1.6666666666666667,6,Vasco
284.0,24,1,45,0,19,30,1.25,0.7916666666666666,9,Grêmio
314.0,24,0,23,0,40,20,0.8333333333333334,1.6666666666666667,3,Avaí
