rodada,atleta_id,clube_id,pontuacao,pontuacao_media,preco,preco_variacao,posicao,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,participou
31,80573,267,2.9,2.28,4.65,-0.2,zag,20.0,46.0,,,1.0,8.0,,1.0,,33.0,20.0,1.0,5.0,,4.0,,,,True
31,79892,315,0.0,0.1,2.08,0.0,mei,2.0,1.0,,,,,,,,,1.0,,,,,,,,False
31,80395,263,0.5,2.32,4.48,-0.49,mei,14.0,14.0,,,6.0,3.0,,1.0,,15.0,5.0,,2.0,,,,,,True
31,80393,354,0.0,2.08,4.0,0.0,mei,12.0,17.0,,,,3.0,,,,16.0,9.0,,1.0,,,,,,False
31,80129,266,0.0,2.4,8.58,0.0,mei,43.0,80.0,1.0,1.0,7.0,8.0,2.0,1.0,,40.0,34.0,,7.0,,,,,,False
31,80188,266,3.3,2.72,6.68,-0.02,ata,30.0,32.0,3.0,,7.0,6.0,2.0,7.0,,13.0,12.0,,,,,,,,True
31,80536,315,0.0,3.9,4.22,0.0,ata,16.0,5.0,,,3.0,3.0,,,,8.0,6.0,,1.0,,,,,,False
31,80189,265,-1.7,2.5,6.64,-1.03,zag,22.0,54.0,,1.0,2.0,4.0,,,,22.0,16.0,,4.0,,9.0,,,,True
31,80286,264,0.0,0.0,2.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
31,80667,266,2.2,2.2,2.1,0.1,mei,1.0,1.0,,,,,,,,3.0,1.0,,1.0,,,,,,True
31,80193,282,-0.3,0.48,2.48,0.04,ata,4.0,3.0,,,,1.0,,,,1.0,1.0,,,,,,,,True
31,80196,267,3.7,7.1,18.01,0.48,lat,86.0,54.0,2.0,2.0,25.0,22.0,9.0,7.0,,25.0,17.0,,2.0,1.0,4.0,,,,True
31,80583,275,0.0,3.54,8.85,0.0,mei,41.0,63.0,3.0,1.0,4.0,11.0,5.0,3.0,,39.0,45.0,,6.0,,,,,,False
31,80287,266,0.0,3.94,6.96,0.0,ata,15.0,15.0,1.0,,6.0,7.0,3.0,2.0,,4.0,9.0,,1.0,,,,,,False
31,80853,284,0.0,6.81,14.94,0.0,zag,4.0,20.0,,,2.0,5.0,1.0,1.0,,43.0,10.0,,2.0,,6.0,,,,False
31,84855,292,0.0,2.63,7.72,0.0,lat,18.0,58.0,1.0,,2.0,2.0,,,,27.0,20.0,,2.0,1.0,4.0,,,,False
31,80895,292,0.0,1.2,1.78,0.0,zag,,1.0,,,,,,,,1.0,,,,,,,,,False
31,80313,266,0.0,6.68,9.49,0.0,lat,17.0,41.0,2.0,,4.0,7.0,3.0,1.0,,34.0,20.0,,3.0,1.0,6.0,,,,False
31,80944,292,0.0,2.62,8.17,0.0,mei,34.0,72.0,3.0,,12.0,18.0,2.0,2.0,,13.0,7.0,,1.0,,,,,,False
31,80318,283,-0.5,1.86,3.48,-0.29,lat,16.0,24.0,,,,,,,,18.0,21.0,,5.0,,3.0,,,,True
31,83204,315,0.0,0.0,2.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
31,80692,275,3.8,4.06,5.58,0.15,zag,14.0,28.0,,,1.0,,,,,24.0,18.0,,5.0,1.0,9.0,,,,True
31,80363,283,0.0,2.78,6.09,0.0,mei,15.0,32.0,1.0,,,3.0,,,,41.0,22.0,,7.0,,,,,,False
31,80326,315,-2.0,-2.0,1.21,-0.79,gol,,,,,,,,,,,,,1.0,,,,,,True
31,81091,292,22.9,6.33,8.86,3.86,mei,12.0,10.0,,,,1.0,2.0,1.0,,28.0,18.0,,4.0,,,,,,True
31,80370,265,0.0,3.52,5.82,0.0,mei,7.0,3.0,,,,,,,,11.0,3.0,,,,,,,,False
